Short_Name,School_Type,Primary_Category,Zip,Excelerate_Award_Gold_Year,Student_Attainment_Rating,Attainment_Reading_Pct_ES,Attainment_Reading_Lbl_ES,Attainment_Math_Pct_ES,Attainment_Math_Lbl_ES,Culture_Climate_Rating,School_Survey_Student_Response_Rate_Pct,School_Survey_Teacher_Response_Rate_Pct,School_Survey_Parent_Response_Rate_Pct,Healthy_School_Certification,Healthy_School_Certification_Description,Creative_School_Certification,Creative_School_Certification_Description,NWEA_Reading_Attainment_Grade_2_Pct,NWEA_Reading_Attainment_Grade_2_Lbl,NWEA_Reading_Attainment_Grade_3_Pct,NWEA_Reading_Attainment_Grade_3_Lbl,NWEA_Reading_Attainment_Grade_4_Pct,NWEA_Reading_Attainment_Grade_4_Lbl,NWEA_Reading_Attainment_Grade_5_Pct,NWEA_Reading_Attainment_Grade_5_Lbl,NWEA_Reading_Attainment_Grade_6_Pct,NWEA_Reading_Attainment_Grade_6_Lbl,NWEA_Reading_Attainment_Grade_7_Pct,NWEA_Reading_Attainment_Grade_7_Lbl,NWEA_Reading_Attainment_Grade_8_Pct,NWEA_Reading_Attainment_Grade_8_Lbl,NWEA_Math_Attainment_Grade_2_Pct,NWEA_Math_Attainment_Grade_2_Lbl,NWEA_Math_Attainment_Grade_3_Pct,NWEA_Math_Attainment_Grade_3_Lbl,NWEA_Math_Attainment_Grade_4_Pct,NWEA_Math_Attainment_Grade_4_Lbl,NWEA_Math_Attainment_Grade_5_Pct,NWEA_Math_Attainment_Grade_5_Lbl,NWEA_Math_Attainment_Grade_6_Pct,NWEA_Math_Attainment_Grade_6_Lbl,NWEA_Math_Attainment_Grade_7_Pct,NWEA_Math_Attainment_Grade_7_Lbl,NWEA_Math_Attainment_Grade_8_Pct,NWEA_Math_Attainment_Grade_8_Lbl,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Misconducts_To_Suspensions_Year_1_Pct,Average_Length_Suspension_Year_1_Pct,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Student_Attendance_Year_1_Pct,Teacher_Attendance_Year_1_Pct,Progress_Toward_Graduation_Year_1,Progress_Toward_Graduation_Year_2,Chronic_Truancy_Pct,Supportive_School_Award,School_Latitude,School_Longitude
DISNEY,Magnet,ES,"60,613",2018,FAR ABOVE AVERAGE,94,94th,92,92nd,MODERATELY ORGANIZED,99.5,75.5,< 30%,Not Achieved,Students learn better at healthy schools! This school achieved Healthy CPS and demonstrates a commitment to a healthy learning environment. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",94,94th,97,97th,92,92nd,91,91st,93,93rd,95,95th,96,96th,98,98th,98,98th,95,95th,88,88th,81,81st,91,91st,93,93rd,NEUTRAL,NEUTRAL,STRONG,WEAK,NEUTRAL,NEUTRAL,1.3,69,1.3 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96,95.3,"2,017","2,018",8.6,ESTABLISHED,41.956816,-87.646083
NEIL,Neighborhood,ES,"60,619",2018,BELOW AVERAGE,22,22nd,8,8th,MODERATELY ORGANIZED,97,94,31%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",15,15th,22,22nd,17,17th,11,11th,36,36th,4,4th,65,65th,19,19th,12,12th,10,10th,1,1st,6,6th,1,1st,19,19th,NEUTRAL,WEAK,STRONG,NEUTRAL,NEUTRAL,VERY WEAK,0.4,1.4,2.0 days,STRONG,STRONG,STRONG,89.4,94.6,"2,017","2,018",56.2,EMERGING,41.738407,-87.620933
HAYT,Neighborhood,ES,"60,660",2018,ABOVE AVERAGE,79,79th,74,74th,MODERATELY ORGANIZED,86.8,86.5,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",80,80th,74,74th,71,71st,61,61st,72,72nd,93,93rd,90,90th,54,54th,56,56th,81,81st,73,73rd,68,68th,84,84th,83,83rd,NEUTRAL,NEUTRAL,STRONG,WEAK,NEUTRAL,WEAK,2.1,18.6,1.5 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.7,96.1,"2,017","2,018",14.7,EMERGING,41.994541,-87.668504
NOBLE - BULLS HS,Charter,HS,"60,612",,MET EXPECTATIONS,,,,,WELL ORGANIZED,58.5,86.8,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,STRONG,VERY STRONG,NEUTRAL,STRONG,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,93.4,,"2,017","2,018",46.5,NOT RATED,41.878809,-87.678195
LEARN - CAMPBELL,Charter,ES,"60,612",,AVERAGE,54,54th,49,49th,WELL ORGANIZED,0,95,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",57,57th,51,51st,39,39th,76,76th,,,,,,,51,51st,36,36th,49,49th,59,59th,,,,,,,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,VERY STRONG,VERY STRONG,NOT ENOUGH DATA,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.7,,"2,017","2,018",40.3,NOT RATED,41.877861,-87.698739
NOBLE - PRITZKER HS,Charter,HS,"60,639",,ABOVE EXPECTATIONS,,,,,WELL ORGANIZED,53.9,85.7,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,INCOMPLETE DATA,"This school has an arts designation of Incomplete Data, and may or may not meet the goals and priorities of the CPS Arts Education Plan, but the school has insufficient data available to complete an assessment. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERY STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.7,,"2,017","2,018",29.4,NOT RATED,41.915214,-87.730127
SHOOP,Neighborhood,ES,"60,643",2018,AVERAGE,35,35th,61,61st,WELL ORGANIZED,96.9,99.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",26,26th,27,27th,32,32nd,31,31st,13,13th,45,45th,78,78th,36,36th,37,37th,59,59th,37,37th,45,45th,77,77th,98,98th,NEUTRAL,VERY STRONG,VERY STRONG,STRONG,STRONG,STRONG,1.1,4.2,1.6 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95,95.2,"2,017","2,018",25.6,ESTABLISHED,41.690919,-87.658669
AHS - PASSAGES,Charter,ES,"60,660",,ABOVE AVERAGE,75,75th,64,64th,ORGANIZED,93.7,99.9,32%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",94,94th,94,94th,43,43rd,54,54th,69,69th,88,88th,69,69th,97,97th,84,84th,33,33rd,44,44th,60,60th,79,79th,57,57th,STRONG,WEAK,NEUTRAL,NEUTRAL,STRONG,WEAK,,,,NEUTRAL,NEUTRAL,NEUTRAL,94.2,,"2,017","2,018",43.8,NOT RATED,41.983371,-87.67116
CATALYST - CIRCLE ROCK,Charter,ES,"60,644",,AVERAGE,49,49th,32,32nd,WELL ORGANIZED,96.1,86.8,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",40,40th,19,19th,74,74th,47,47th,49,49th,46,46th,65,65th,57,57th,18,18th,21,21st,30,30th,23,23rd,20,20th,50,50th,STRONG,STRONG,VERY STRONG,STRONG,STRONG,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.3,,"2,017","2,018",28,NOT RATED,41.882322,-87.765322
NOBLE - ACADEMY HS,Charter,HS,"60,610",,MET EXPECTATIONS,,,,,WELL ORGANIZED,57.4,99.9,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRONG,STRONG,VERY STRONG,NEUTRAL,STRONG,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,93.7,,"2,017","2,018",51.7,NOT RATED,41.906879,-87.645577
BROWN R,Neighborhood,ES,"60,628",2018,BELOW AVERAGE,39,39th,28,28th,WELL ORGANIZED,99.9,92,54%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",10,10th,47,47th,20,20th,53,53rd,22,22nd,78,78th,81,81st,11,11th,40,40th,35,35th,17,17th,12,12th,38,38th,53,53rd,NEUTRAL,VERY STRONG,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,11.1,29.1,1.6 days,VERY STRONG,VERY STRONG,VERY STRONG,95.4,94.5,"2,017","2,018",33.4,EMERGING,41.664873,-87.638958
ORTIZ DE DOMINGUEZ,Neighborhood,ES,"60,623",2018,BELOW AVERAGE,38,38th,38,38th,ORGANIZED,0,87.2,> 75%,Not Achieved,Students learn better at healthy schools! This school achieved Healthy CPS and demonstrates a commitment to a healthy learning environment. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",38,38th,,,,,,,,,,,,,38,38th,,,,,,,,,,,,,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,NEUTRAL,NOT ENOUGH DATA,0,0,0.0 days,NEUTRAL,VERY STRONG,STRONG,95.3,94.9,"2,017","2,018",14.6,NOT RATED,41.838791,-87.71719
YCCS - YOUTH CONNECTION,Charter,HS,"60,616",,FAR BELOW EXPECTATIONS,,,,,PARTIALLY ORGANIZED,59.5,60,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT ENOUGH DATA,WEAK,WEAK,NEUTRAL,NEUTRAL,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,59.9,,"2,017","2,018",181.7,NOT RATED,41.832072,-87.626781
YCCS - SULLIVAN,Charter,HS,"60,617",,FAR BELOW EXPECTATIONS,,,,,WELL ORGANIZED,60.4,70.6,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,STRONG,VERY STRONG,STRONG,NEUTRAL,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,74,,"2,017","2,018",97.7,NOT RATED,41.746287,-87.578492
KINZIE,Neighborhood,ES,"60,638",2018,ABOVE AVERAGE,80,80th,78,78th,WELL ORGANIZED,90.5,77.2,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",71,71st,81,81st,69,69th,69,69th,87,87th,83,83rd,87,87th,58,58th,77,77th,65,65th,81,81st,89,89th,83,83rd,81,81st,VERY STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,STRONG,0.4,14.3,1.7 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.4,95.2,"2,017","2,018",8.1,EMERGING,41.789965,-87.779483
CURIE HS,Magnet,HS,"60,632",,BELOW EXPECTATIONS,,,,,ORGANIZED,88.8,87.3,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,7.8,38,1.9 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,87.9,94.3,"2,017","2,018",55.4,EXEMPLARY,41.80306,-87.722042
NOBLE - DRW HS,Charter,HS,"60,624",,BELOW EXPECTATIONS,,,,,PARTIALLY ORGANIZED,55.1,78.8,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NEUTRAL,STRONG,WEAK,WEAK,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,88.5,,"2,017","2,018",80.6,NOT RATED,41.869328,-87.711654
NOBLE - HANSBERRY HS,Charter,HS,"60,620",,BELOW EXPECTATIONS,,,,,WELL ORGANIZED,83.8,92.5,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,INCOMPLETE DATA,"This school has an arts designation of Incomplete Data, and may or may not meet the goals and priorities of the CPS Arts Education Plan, but the school has insufficient data available to complete an assessment. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRONG,NEUTRAL,VERY STRONG,NEUTRAL,STRONG,VERY WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,90.1,,"2,017","2,018",61.3,NOT RATED,41.734442,-87.650987
ROWE,Charter,ES,"60,642",,ABOVE AVERAGE,67,67th,73,73rd,NOT YET ORGANIZED,90.1,92.1,46%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",82,82nd,71,71st,71,71st,48,48th,44,44th,66,66th,77,77th,82,82nd,77,77th,79,79th,84,84th,52,52nd,58,58th,81,81st,NEUTRAL,WEAK,NEUTRAL,WEAK,WEAK,WEAK,,,,NEUTRAL,NEUTRAL,NEUTRAL,95.5,,"2,017","2,018",19.3,ESTABLISHED,41.907797,-87.664072
PHILLIPS HS,Neighborhood,HS,"60,653",,FAR BELOW EXPECTATIONS,,,,,ORGANIZED,71.3,83,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NEUTRAL,VERY STRONG,NEUTRAL,STRONG,WEAK,57.9,26.5,2.6 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,80.4,93.6,"2,017","2,018",100,NOT RATED,41.82388,-87.619796
CHASE,Neighborhood,ES,"60,647",2018,ABOVE AVERAGE,68,68th,76,76th,WELL ORGANIZED,86.9,80.4,47%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",69,69th,65,65th,52,52nd,37,37th,71,71st,83,83rd,81,81st,75,75th,43,43rd,50,50th,44,44th,79,79th,95,95th,90,90th,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,0,0,0.0 days,VERY STRONG,VERY STRONG,VERY STRONG,95.6,96,"2,017","2,018",20.8,EXEMPLARY,41.917993,-87.694562
ACERO - TORRES,Charter,ES,"60,632",,ABOVE AVERAGE,75,75th,77,77th,PARTIALLY ORGANIZED,92.7,90.6,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",74,74th,70,70th,60,60th,77,77th,60,60th,85,85th,86,86th,65,65th,70,70th,67,67th,76,76th,64,64th,87,87th,92,92nd,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,VERY WEAK,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96.1,,"2,017","2,018",7.7,NOT RATED,41.8082,-87.73045
HURLEY,Neighborhood,ES,"60,629",2018,AVERAGE,51,51st,55,55th,ORGANIZED,94.8,76.9,55%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",41,41st,38,38th,29,29th,32,32nd,54,54th,67,67th,86,86th,54,54th,43,43rd,41,41st,49,49th,40,40th,64,64th,86,86th,STRONG,WEAK,STRONG,NEUTRAL,STRONG,WEAK,0,0,0.0 days,WEAK,NEUTRAL,WEAK,95.6,94.8,"2,017","2,018",13.8,NOT RATED,41.766785,-87.719541
GALE,Neighborhood,ES,"60,626",2018,BELOW AVERAGE,28,28th,16,16th,ORGANIZED,81.1,74.2,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",11,11th,20,20th,9,9th,44,44th,27,27th,55,55th,76,76th,1,1st,9,9th,3,3rd,17,17th,19,19th,48,48th,57,57th,STRONG,NEUTRAL,STRONG,WEAK,NEUTRAL,WEAK,5.8,44.7,1.8 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,91.9,92.6,"2,017","2,018",38.7,ESTABLISHED,42.021091,-87.671939
CANTY,Neighborhood,ES,"60,634",2018,ABOVE AVERAGE,87,87th,88,88th,WELL ORGANIZED,95,89.7,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",72,72nd,90,90th,79,79th,86,86th,85,85th,95,95th,94,94th,87,87th,84,84th,86,86th,76,76th,87,87th,93,93rd,97,97th,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,0,0,0.0 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.2,95.2,"2,017","2,018",12.2,ESTABLISHED,41.948007,-87.829296
COLUMBUS,Neighborhood,ES,"60,622",2018,ABOVE AVERAGE,78,78th,73,73rd,WELL ORGANIZED,95.5,99.9,55%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",84,84th,63,63rd,63,63rd,73,73rd,67,67th,86,86th,91,91st,55,55th,48,48th,73,73rd,69,69th,61,61st,82,82nd,90,90th,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,2,3.4,1.2 days,STRONG,VERY STRONG,STRONG,95.4,95.2,"2,017","2,018",7.1,EMERGING,41.899566,-87.681938
